epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,2586.12,1.55551,2.01514,1.6473,0.46713,0.46063,0.45334,0.24459,1.11861,1.88496,1.19108,0.0014456,0.0014456,0.0014456
16,2754.45,1.50786,2.05251,1.60379,0.4381,0.4671,0.42875,0.21698,1.14766,1.99505,1.21838,0.001406,0.001406,0.001406
17,2928.43,1.52556,1.98832,1.61559,0.52781,0.45631,0.48141,0.25762,1.1637,1.46788,1.21582,0.0013664,0.0013664,0.0013664
18,3103.46,1.51023,1.96546,1.605,0.5418,0.48112,0.50516,0.2882,1.06863,1.51415,1.17083,0.0013268,0.0013268,0.0013268
19,3278.36,1.44793,1.96308,1.55721,0.48818,0.53074,0.52469,0.29414,1.05503,2.35457,1.17433,0.0012872,0.0012872,0.0012872
20,3453.74,1.4686,1.84745,1.57853,0.50484,0.52022,0.52503,0.30405,1.02962,1.54857,1.12393,0.0012476,0.0012476,0.0012476
21,3628.7,1.44188,1.79917,1.54493,0.52672,0.50485,0.51914,0.28144,1.11485,1.40275,1.16933,0.001208,0.001208,0.001208
22,3803.2,1.44569,1.89027,1.56395,0.52285,0.5027,0.52177,0.30574,1.03461,1.61106,1.1679,0.0011684,0.0011684,0.0011684
23,3978.2,1.43057,1.84562,1.55425,0.55063,0.50162,0.54708,0.31113,1.04512,1.49228,1.1625,0.0011288,0.0011288,0.0011288
24,4153.26,1.40582,1.74792,1.54201,0.59504,0.52967,0.56777,0.33284,1.03878,1.31058,1.15916,0.0010892,0.0010892,0.0010892
25,4328.27,1.38124,1.74928,1.50082,0.56818,0.53182,0.56279,0.31551,1.03924,1.6682,1.1557,0.0010496,0.0010496,0.0010496
26,4501.83,1.4074,1.74821,1.5448,0.54432,0.55796,0.55338,0.32196,1.0277,1.38298,1.1369,0.00101,0.00101,0.00101
27,4676.33,1.37923,1.70993,1.49896,0.57924,0.55124,0.58129,0.33968,1.0102,1.66332,1.13847,0.0009704,0.0009704,0.0009704
28,4851.23,1.38132,1.81248,1.51135,0.56986,0.53506,0.54834,0.30788,1.04151,1.54625,1.14602,0.0009308,0.0009308,0.0009308
29,5025.59,1.37446,1.71248,1.49815,0.53102,0.51996,0.52416,0.30377,1.04003,1.69425,1.1624,0.0008912,0.0008912,0.0008912
30,5199.82,1.36506,1.72996,1.49042,0.55108,0.51888,0.54336,0.31301,1.02641,1.62312,1.14606,0.0008516,0.0008516,0.0008516
31,5371.9,1.34633,1.6912,1.48506,0.5901,0.53268,0.57915,0.33972,1.02587,1.69675,1.13227,0.000812,0.000812,0.000812
32,5546.4,1.34279,1.61354,1.47851,0.56096,0.51672,0.56596,0.32706,1.0483,1.25516,1.15137,0.0007724,0.0007724,0.0007724
33,5720.88,1.34491,1.72984,1.48172,0.57501,0.52643,0.57844,0.34719,1.00841,1.2791,1.11265,0.0007328,0.0007328,0.0007328
34,5895.73,1.31563,1.64992,1.44799,0.61304,0.53398,0.60051,0.36182,0.98718,1.36115,1.1124,0.0006932,0.0006932,0.0006932
35,6070.64,1.32977,1.63036,1.47433,0.59623,0.55771,0.58841,0.35056,1.0098,1.36598,1.12497,0.0006536,0.0006536,0.0006536
36,6244.9,1.31321,1.60355,1.46709,0.59945,0.53276,0.58937,0.35403,1.02337,1.26011,1.11925,0.000614,0.000614,0.000614
37,6419.12,1.28652,1.62866,1.44825,0.57084,0.56203,0.58834,0.35107,1.00594,1.58187,1.13835,0.0005744,0.0005744,0.0005744
38,6593.4,1.27504,1.50754,1.45681,0.59377,0.55879,0.59082,0.3494,1.00224,1.3793,1.12945,0.0005348,0.0005348,0.0005348
39,6767.59,1.30093,1.55378,1.45753,0.59122,0.55771,0.59482,0.35455,1.00636,1.2906,1.11861,0.0004952,0.0004952,0.0004952
40,6941.64,1.31182,1.51072,1.47085,0.57332,0.56676,0.58358,0.34923,1.00976,1.33253,1.13026,0.0004556,0.0004556,0.0004556
41,7118.52,1.09173,1.3363,1.23148,0.5822,0.52535,0.58931,0.36122,0.99154,1.20344,1.12129,0.000416,0.000416,0.000416
